,新增本土确诊,新增无症状,浦东新区新增本土确诊,浦东新区新增无症状,黄浦区新增本土确诊,黄浦区新增无症状,静安区新增本土确诊,静安区新增无症状,徐汇区新增本土确诊,徐汇区新增无症状,长宁区新增本土确诊,长宁区新增无症状,普陀区新增本土确诊,普陀区新增无症状,虹口区新增本土确诊,虹口区新增无症状,杨浦区新增本土确诊,杨浦区新增无症状,宝山区新增本土确诊,宝山区新增无症状,闵行区新增本土确诊,闵行区新增无症状,嘉定区新增本土确诊,嘉定区新增无症状,金山区新增本土确诊,金山区新增无症状,松江区新增本土确诊,松江区新增无症状,青浦区新增本土确诊,青浦区新增无症状,奉贤区新增本土确诊,奉贤区新增无症状,崇明区新增本土确诊,崇明区新增无症状
2022-03-25,38,2231,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,41
2022-03-26,45,2631,0,0,0,0,3,105,0,0,2,27,0,0,0,0,0,2,6,147,0,0,0,0,0,4,0,79,0,22,0,0,0,27
2022-03-27,50,3450,4,1425,1,55,5,65,6,271,0,45,4,66,1,26,0,35,5,89,20,599,3,248,0,13,1,189,0,43,0,0,0,236
2022-03-28,96,4381,39,2467,0,0,10,94,0,0,7,108,0,0,0,0,0,0,8,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-29,-1,-1,169,2014,6,104,8,167,34,1066,3,27,6,107,7,66,0,3,33,330,29,958,9,246,2,24,0,15,0,87,0,1,0,1
2022-03-30,-1,-1,249,1958,16,345,8,94,15,389,8,120,6,140,1,83,3,97,1,503,19,761,9,149,0,33,0,8,5,72,7,123,0,193
2022-03-31,358,4144,0,0,0,0,4,160,0,0,43,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2022-04-01,260,6051,0,0,5,255,11,178,37,602,0,37,13,232,3,58,11,123,10,35,57,986,9,191,3,46,0,19,0,87,0,2,1,83
2022-04-02,438,7788,0,0,27,632,26,298,44,998,7,93,39,349,30,312,19,255,35,450,55,774,26,591,0,60,8,559,3,228,8,149,3,110
2022-04-03,425,8581,0,0,14,810,29,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,115,0,0
2022-04-04,268,13086,205,6866,8,962,1,49,8,1221,1,32,4,250,5,603,0,10,1,264,11,1370,4,233,1,51,0,6,1,313,0,2,0,47
2022-04-05,311,16766,162,7983,16,642,12,290,23,897,6,78,7,476,8,402,11,612,7,547,23,2914,11,470,1,76,14,782,6,378,2,142,2,77
2022-04-06,322,19660,151,8306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,651,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2022-04-07,824,20398,307,8743,0,0,22,359,43,2033,29,823,11,946,26,568,0,29,0,0,95,2162,23,910,72,57,0,107,4,489,0,31,2,260
2022-04-08,1015,22609,348,6938,0,0,42,623,114,1515,20,594,21,1073,18,360,0,12,0,0,62,2792,116,1389,45,45,0,108,24,318,0,12,3,167
2022-04-09,1006,23937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2225,0,0,21,348,0,0,0,0,9,548,13,111,4,167
2022-04-10,914,25173,212,6520,36,1725,29,574,46,3157,5,382,7,994,6,1232,0,61,21,1818,102,3087,71,1334,15,42,0,291,1,876,0,11,0,55
2022-04-11,994,22348,493,7813,117,2106,20,532,48,1723,25,368,37,1841,25,1350,0,30,47,977,68,2939,43,165,3,35,0,21,7,324,0,4,6,51
2022-04-12,1189,25141,0,0,0,0,75,981,56,1052,90,1043,50,1120,83,848,0,0,0,0,0,0,42,944,3,36,77,635,61,463,1,32,29,57
2022-04-13,2573,25146,1139,13888,227,1181,49,171,143,1349,105,852,45,430,121,1367,0,54,13,638,372,2567,54,667,12,22,0,131,99,220,0,2,7,56
2022-04-14,3200,19872,1252,10404,268,1745,70,196,293,1049,148,850,45,219,174,756,0,48,50,367,274,2104,200,603,23,5,0,178,128,176,0,20,29,31
2022-04-15,3590,19923,0,0,246,1138,92,341,277,1412,233,519,66,360,287,1210,275,1136,74,1249,301,1736,173,568,21,10,198,575,131,405,23,83,51,41
2022-04-16,3238,21582,1002,9789,188,1377,143,991,170,1362,127,579,145,1186,157,870,0,84,51,1242,890,2170,103,582,9,12,0,87,46,259,0,23,13,36
2022-04-16,3238,21582,1002,9789,188,1377,143,991,170,1362,127,579,145,1186,157,870,0,84,51,1242,890,2170,103,582,9,12,0,87,46,259,0,23,13,36
2022-04-17,2417,19831,521,7219,186,1710,127,715,167,1386,62,677,330,895,266,900,0,26,85,1365,106,2296,356,622,0,0,0,153,17,352,0,1,4,4
2022-04-18,3084,-1,1075,7756,362,2961,203,807,68,504,193,487,21,350,233,859,64,417,203,827,312,1060,72,516,0,0,191,571,77,180,2,12,5,21
2022-04-19,2494,16407,720,4926,368,2716,205,1528,144,1464,53,565,100,428,148,605,0,0,41,916,389,1213,104,639,1,8,58,267,72,317,2,58,25,55
2022-04-20,2634,15861,756,3709,252,2845,164,966,191,1256,123,603,49,506,102,730,0,0,107,726,291,1395,82,567,16,1,165,511,120,160,0,6,8,57
2022-04-21,1931,15698,409,4246,192,1560,150,1914,347,1019,85,411,94,395,103,782,54,489,136,842,153,2410,80,696,0,0,22,471,60,325,14,20,24,96
2022-04-22,-1,-1,704,7257,435,2408,76,710,123,1152,164,549,71,452,428,569,0,88,179,1854,208,1097,76,424,0,26,0,120,44,315,0,6,14,103
2022-04-23,1401,19657,541,7085,96,1863,40,431,91,1631,69,658,39,439,82,737,0,42,135,2751,108,769,73,678,0,44,0,32,26,398,0,1,26,182
2022-04-23,1401,19657,541,7085,96,1863,40,431,91,1631,69,658,39,439,82,737,0,42,135,2751,108,769,73,678,0,44,0,32,26,398,0,1,26,182
2022-04-23,1401,19657,541,7085,96,1863,40,431,91,1631,69,658,39,439,82,737,0,42,135,2751,108,769,73,678,0,44,0,32,26,398,0,1,26,182
2022-04-24,2472,16983,874,5307,317,1438,142,1560,228,1168,76,673,43,434,106,549,75,1160,135,2371,143,1086,132,469,0,68,166,382,8,243,0,7,0,0
2022-04-25,1661,15319,292,3620,156,2515,131,885,209,1132,97,437,47,371,138,1132,0,65,216,1570,61,656,58,485,0,22,108,533,44,335,0,3,36,438
2022-04-26,1606,11956,206,2539,301,927,145,1249,173,731,64,355,104,261,37,1099,0,47,295,1681,71,678,89,345,2,26,29,258,27,284,0,2,447,447
2022-04-27,1292,-1,534,2459,135,1317,32,1057,212,340,19,189,24,277,68,1023,60,466,52,1063,51,270,13,279,10,31,52,179,4,204,0,3,26,173
2022-04-28,5487,9545,1456,2016,1370,1286,349,1015,527,1053,263,384,96,139,469,905,75,733,277,966,70,352,132,356,8,20,252,150,137,132,0,3,3,35
